"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt11905922","Stray",2020,"72","Documentary","nm6251799","nm6251799",6.9,1441
"tt11905944","Future Is a Lonely Place",2021,"101","Crime,Drama,Thriller","nm4698291, nm5972236","nm4698291, nm5972236",5.7,56
"tt11905960","Class Reunion 3",2021,"104","Comedy","nm0001317","nm0054358, nm1735344, nm0001317, nm0580795, nm0672782",3.8,512
"tt11905962","Sputnik",2020,"113","Drama,Horror,Mystery","nm3325960","nm2672655, nm2454599",6.4,23892
"tt11905998","Truth to Power",2021,"79","Documentary","nm6548809","nm6548809",6.8,147
"tt11906012","Underplayed",2020,"87","Documentary","nm6959954","nm11833790, nm4701372, nm6959954",6.4,117
"tt11906018","Onus",2020,"88","Horror","nm4322337","nm4322337",2.6,152
"tt11906086","Blast",2021,"90","Drama,Mystery,Thriller","nm1493883","nm1493883, nm1805203",5.1,174
"tt11906392","Low Season",2020,"125","Comedy,Horror,Romance","nm4681362","nm12880584, nm12880585, nm12880586, nm6684123, nm12880583, nm12880582",6.3,490
"tt11906988","Life Finds a Way",2018,"100","Comedy,Drama","nm6128510","nm6128510",6.3,98
"tt11908062","Winter",2020,"76","Drama","nm11397394","nm11397394",5.2,2642
"tt11908982","Jakob's Wife",2021,"98","Horror","nm1705857","nm0824847, nm2232206, nm1705857",5.5,3483
"tt11911844","The Cause",2019,"84","Documentary","nm8901177","nm8901177, nm10559105",7.5,107
"tt11912010","Commitment Phobia",2021,"84","Comedy,Romance","nm6433160","nm6433160, nm1215162, nm3285500",5.8,227
"tt11912390","2 States",2020,"131","Comedy,Romance","nm10199335","nm10199335",6.6,408
"tt11912618","Party Over",2019,"94","Crime,Drama,Mystery","nm0479886","nm8803312, nm0479886",6.7,219
"tt11914450","Winifred Meeks",2021,"88","Horror","nm2061884","nm2061884",2.8,133
"tt11916166","Baby God",2020,"78","Crime,Documentary","nm2126074","nm0601012",5.9,758
"tt11916218","Insert Coin",2020,"101","Documentary","nm2312753","nm11742138",6.7,435
"tt11916254","Lucy Shimmers and the Prince of Peace",2020,"87","Drama,Family","nm1070766","nm1070766",6.4,329
"tt11916302","Derek DelGaudio's In & Of Itself",2020,"90","Documentary","nm0000568","nm3668380",8.2,4721
"tt11917942","Wife of a Spy",2020,"115","Drama,History,War","nm0475905","nm3152327, nm0475905, nm3436501",6.6,2400
"tt11918288","Pirates",2021,"80","Comedy","nm0946815","nm0946815",5.5,708
"tt11920800","A Song Called Hate",2020,"90","Documentary,Music","nm10487600","nm3558632, nm7620283, nm10487600, nm3558886",7.8,219
"tt11921004","Brave Blue World",2019,"50","Documentary","nm11403302, nm3008469","nm9466351, nm11953143, nm3008469, nm6669292, nm0790419",6.7,802
"tt11923304","Tokyo Revengers",2021,"120","Action,Crime,Drama","nm3108153","nm4133012, nm2107329",6.4,1299
"tt11924110","Ladki: Enter the Girl Dragon",2022,"122","Action,Drama,Romance","nm0890060, nm13696903","nm0890060",6.1,155
"tt11924122","Ananya",2022,"122","Drama","nm7834233","nm7834233",9.1,108
"tt11924476","A Werewolf in England",2020,"84","Comedy,Horror","nm6840460","nm6840460",4.4,2049
"tt11924560","Once Before",2020,"98","Drama","nm0482774","nm0498080",5,127
"tt11924738","The Perfect Family",2021,"110","Comedy","nm0248401","nm3374735",5.3,2132
"tt11927670","Ace & the Christmas Miracle",2021,"91","Comedy,Family","nm2973729","nm2973729, nm1369375, nm5605799",4.6,86
"tt11928696","Blue, Painful and Brittle",2020,"118","Adventure,Drama","nm4129426","nm5537917, nm8452852",6.1,170
"tt11928960","Kamen Rider Zero-One: Real×Time",2020,"80","Action,Sci-Fi","nm7421566","nm8495494",8.2,97
"tt11930126","Alcarràs",2022,"120","Drama","nm3427032","nm3427032, nm8737506",7.5,1290
"tt11934846","Badhaai Do",2022,"147","Comedy,Crime,Drama","nm2862844","nm12676929, nm10111893, nm2862844",7,17307
"tt11936544","Yowis Ben 3",2021,"113","Comedy,Drama","nm3160391, nm8662914","nm3160391, nm8662914",7,163
"tt11936782","Geez & Ann",2021,"105","Drama,Romance","nm9106747","nm12362789, nm11871855, nm12362790, nm2935111, nm2682696, nm11409159",5,290
"tt11937680","The Velvet Queen",2021,"92","Documentary","nm8107577, nm8579041","nm8579041, nm8107577, nm2159321",7.8,1340
"tt11938416","The Black Square",2021,"100","Comedy,Crime","nm6057982","nm11409712",5.4,191
"tt11938888","The Best Families",2020,"99","Comedy","nm1659906","nm1659906",6.5,327
"tt11939970","Entropy",2022,"80","Drama,Horror,Mystery","nm10918075","nm10918076, nm10918075",2.5,200
"tt11940240","Salgueiro Maia - The implicated",2022,"115","Biography,Drama","nm2120491","nm1758536",6.9,113
"tt11941800","Mascarpone",2021,"101","Comedy,Drama,Romance","nm6265085, nm3524943","nm4749883, nm6265085, nm3524943",6.7,988
"tt11944928","Red Stone",2021,"97","Crime,Drama,Mystery","nm3241039","nm3241039",4.6,1359
"tt11947158","Ek Villain Returns",2022,"129","Action,Romance,Thriller","nm1887138","nm1887138, nm2748159",5.7,9367
"tt11947216","Open",2021,"71","Drama,Romance,Sport","nm4851653","nm4851653",5.9,355
"tt11947446","Ikko Mikke",2020,"133","Comedy,Drama,Family","nm10879582","nm10879582",7.9,138
"tt11948256","Lift",2021,"134","Drama,Horror,Mystery","nm11414458","nm11414458",6.7,3213
"tt11948716","The Shattering",2021,"77","Drama,Horror,Thriller","nm6051389","nm6051389",4.7,209
"tt11950836","Red Moon Tide",2020,"84","Drama,Fantasy,Horror","nm4727866","nm4727866",5.9,683
"tt11952238","Skies of Lebanon",2020,"92","Drama","nm4380001","nm4380001, nm4548115",6.7,878
"tt11952606","Easter Sunday",2022,"96","Comedy","nm0151540","nm1180074, nm3334252",5.6,771
"tt11952760","Alludu Adhurs",2021,"149","Action,Comedy","nm2486163","nm2486163, nm9489622",3,1009
"tt11952776","Karnan Napoleon Bhagat Singh",2022,"126","Mystery,Thriller","nm8696376","nm8696376",7.7,53
"tt11952874","Kung Fu Mulan",2020,"100","Animation","nm11416171","nm11416172, nm1511627",4.4,125
"tt11953194","Hey Sinamika",2022,"150","Drama,Romance","nm1095504","nm4157919",6,3385
"tt11953228","Punch and Run",2021,"99","Comedy,Crime","nm8337755","nm8337755",5.4,55
"tt11953248","Garuda Gamana Vrishabha Vahana",2021,"151","Crime,Drama,Thriller","nm8833077","nm8833077",8.3,4809
"tt11953368","Bats",2021,"83","Horror","nm9107519, nm8448178","nm8448178",2.2,143
"tt11953628","Maska",2020,"111","Comedy,Drama,Romance","nm4082640","nm3002771, nm4082640",5.8,1458
"tt11956066","Underground",2020,"97","Drama","nm2876079","nm2876079",6.8,320
"tt11957450","Stalker",2020,"86","Thriller","nm3285470","nm3285470, nm3534604",5.5,531
"tt11958344","A Whisker Away",2020,"104","Adventure,Animation,Drama","nm0766218, nm2034008","nm2584046",6.7,9953
"tt11958790","The Prophet and the Space Aliens",2020,"86","Documentary","nm1516376","nm1516376",7.3,131
"tt11959018","Vengeance",2020,"74","Crime","nm2329727","nm2329727",3.7,742
"tt11959452","The Suppression of Hannah Stevenson",2022,"75","Fantasy,Horror","nm10187639","nm10187639",3.3,74
"tt11960430","1917: The Real Story",2020,"60","Documentary,War","nm2411010","nm2411010",6.2,157
"tt11960634","Me Vasantrao",2022,"180","Biography","nm4147929","nm4147929, nm3179723",9.5,457
"tt11962590","Into the Arms of Danger",2020,"87","Crime,Horror,Thriller","nm0362799","nm8062223",4.9,272
"tt11963736","Dracula Sir",2020,"127","Crime,Thriller","nm2404627","nm2404627, nm3491132, nm3413965",7.4,1726
"tt11964084","Virgin Bhanupriya",2020,"111","Comedy,Drama","nm3205822","nm3205822",2.7,4966
"tt11965688","Fuccbois",2019,"96","Crime,Drama,Thriller","nm2881346","nm2881346",6.2,239
"tt11966138","Sinfidelity",2020,"90","Thriller","nm0356968","nm3594010, nm0356968",5,188
"tt11967116","The Night Doctor",2020,"82","Crime,Drama,Thriller","nm2716464","nm0275452, nm0531195, nm2716464",6.6,1434
"tt11967404","C.O.R.N.",2021,"102","Horror,Thriller","nm1384445","nm1384445",3.7,219
"tt11967484","The Girl and the Spider",2021,"98","Drama","nm3885065, nm4612196","nm3885065, nm4612196",6.1,986
"tt11968072","A Stone in the Water",2019,"96","Thriller","nm0169296","nm0169296",5.2,121
"tt11968836","Mastermind",2019,"94","Drama,Mystery,Thriller","nm7645003","nm4719828, nm5968013",5.2,418
"tt11971932","The Leprechaun's Game",2020,"80","Horror","nm3456466","nm6958582, nm3456466",2.2,268
"tt11976170","Jeeudo",2020,"150","Drama,Romance","nm11424969","nm11424969, nm11424980",5.8,197
"tt11976532","Vengeance",2022,"107","Comedy,Mystery,Thriller","nm1145983","nm1145983",7.2,2489
"tt11981274","The Huntress of Auschwitz",2022,"83","Horror,Thriller,War","nm2329727","nm2329727",2.9,1336
"tt11981382","Imperative",2021,"90","Crime,Thriller","nm8343989","nm8343989",8.1,77
"tt11987082","Paagal",2021,"130","Comedy,Romance","nm12284821","nm12284821",5.6,1874
"tt11988512","One-Way to Tomorrow",2020,"90","Comedy,Drama,Romance","nm1560896","nm2846964, nm3883445",5.6,5004
"tt11990460","COVID-19: Invasion",2021,"84","Action,Thriller","nm4589083","nm4589083",2,161
"tt11990802","Don't Call Me Bigfoot",2020,"81","Documentary","nm11011122","nm11011122",5.4,183
"tt11991132","Kamali from Nadukkaveri",2021,"147","Drama","nm11431401","nm11431401",7.5,1242
"tt11991446","War Cake",2020,"98","Drama","nm3945784, nm4763540","nm4763540",3.4,54
"tt11991676","Ravi Bopanna",2022,"120","Drama","nm5758702","nm5758702",8.5,97
"tt11991748","Rurouni Kenshin: Final Chapter Part II - The Beginning",2021,"137","Action,Adventure,Drama","nm3311094","nm0914941",7.4,8369
"tt11991786","The Guide to the Perfect Family",2021,"102","Comedy,Drama","nm1168135","nm1536471, nm2935451, nm1747867",6.4,1685
"tt11992694","Corsage",2022,"113","Biography,Drama,History","nm1001232","nm1001232",7.2,298
"tt11992904","The Ogglies",2021,"85","Adventure,Animation,Family","nm2225149, nm0312881","nm0312881, nm1753282, nm4668609",5.2,265
"tt11994750","Made You Look: A True Story About Fake Art",2020,"94","Crime,Documentary","nm0043335","nm0043335, nm0393500",7,4282
"tt11995784","The Haunting of Pendle Hill",2022,"84","Horror","nm2329727","nm2329727",3.1,1178
"tt11995882","ShadowMarsh",2022,"85","Drama,Horror,Mystery","nm3576597","nm8157519, nm3576597, nm11811079",6.1,179
"tt11996308","Before the Wrath",2020,"84","Documentary","nm4304089","nm4304089",6.6,258
