"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers"
"tt10204940","Spread Your Wings",2019,"113","Adventure,Drama,Family","nm1534640","nm2524823, nm6211765, nm6752748, nm1534640"
"tt10204998","Bruh.mp4",2020,"65","Comedy,Thriller","nm7186350","nm7186350"
"tt10205046","Stealing Chaplin",2020,"105","Drama","nm2662500","nm8389292, nm1792652"
"tt10206162","Ichigo no uta",2019,"114","Drama,Horror,Romance","nm4760683","nm1796950, nm0645443"
"tt10206204","Three Nobunagas",2019,"106","Comedy,Drama,History","nm4543218","nm4543218"
"tt10206400","Kiss Me at the Stroke of Midnight",2019,"115","Comedy,Romance","nm0793944","nm6448955, nm7592445"
"tt10206614","Little Love Song",2019,"123","Drama,Music,Romance","nm2398203","nm1618246"
"tt10206818","The Voice of Sin",2020,"142","Crime,Drama,Thriller","nm2391552","nm4189691, nm10631182"
"tt10207532","Understory",2019,"81","Documentary","nm0136673","nm0136673"
"tt10207588","Floripes",2020,"40","Biography,Documentary","nm6997123","nm6997123"
"tt10207710","The Gateway",2021,"91","Thriller","nm1869948","nm9505769, nm0506165, nm1869948"
"tt10207850","Killer in Law",2018,"90","Thriller","nm1876813","nm10631693, nm1876813"
"tt10207954","Kalki",2019,"140","Action,Thriller","nm9514022","nm11485660, nm9959549, nm9514022"
"tt10208042","Love in America",2019,"125","Romance","nm10631804","nm10610095"
"tt10208086","Bee Geniuses: The Life of Bees",2019,"59","Animation","nm10451906","nm10631817"
"tt10208192","Let It Be Law",2019,"86","Documentary","nm0812626","nm0812626"
"tt10208194","Family Romance, LLC",2019,"89","Drama","nm0001348","nm0001348"
"tt10208198","The Gangster, the Cop, the Devil",2019,"109","Action,Crime,Thriller","nm8694244","nm8694244"
"tt10208494","Halloween in a Box",2019,"99","Documentary","nm8968627","nm8968627"
"tt10208548","Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi",2019,"100","Action,Adventure,Animation","nm2621812","nm3065627, nm4540287"
"tt10210882","Broken Poet",2020,"106","Music","nm1893182","nm1011791, nm1893182, nm8031256, nm8040033"
"tt10212512","Bedaad",2018,"116","Crime,Thriller","nm10632990","nm10632990"
"tt10212922","San 1981",2019,"112","Action","nm10633066","nm10633066"
"tt10213066","Meeting #FloridaMan",2019,"72","Documentary","nm1550645, nm7428894","nm1550645"
